cache-misses_1s,branch-misses_1s,branch-load-misses_1s,L1-dcache-stores_1s,dTLB-stores_1s,cache-misses_2s,branch-misses_2s,branch-load-misses_2s,L1-dcache-stores_2s,dTLB-stores_2s,cache-misses_3s,branch-misses_3s,branch-load-misses_3s,L1-dcache-stores_3s,dTLB-stores_3s,cache-misses_4s,branch-misses_4s,branch-load-misses_4s,L1-dcache-stores_4s,dTLB-stores_4s,cache-misses_5s,branch-misses_5s,branch-load-misses_5s,L1-dcache-stores_5s,dTLB-stores_5s,label
26008818,10034096,9969509,735098781,607591850,5721416,1486030,1484111,16191285,15452974,5844881,1413505,1418676,15439917,14294515,15492569,4902667,4934058,123587638,112546913,28123407,10268928,10147311,230554022,223189678,25
31344210,12101679,12057806,821321747,757685554,5983145,1452187,1449794,15412706,16458936,5551952,1406589,1411734,15287124,14961111,5794337,1405009,1412120,14739908,14561529,5889557,1410761,1404006,14966389,15051730,25
29661756,11915126,12000198,682569057,688822836,5796665,1449233,1435757,15566089,15856335,5729391,1392821,1392192,14690267,14856282,5787052,1425694,1419094,14837450,14974912,6160891,1436595,1433825,14977043,15195651,25
25149868,11241498,11124641,691498326,714515501,6121845,1500562,1447758,15726033,16140839,5758718,1413744,1415180,14999114,14959799,7351640,1669683,1674695,24137358,19143240,6025237,1457376,1447344,14907855,14950366,25
26100104,10625606,10955117,725844475,647418446,6247074,1413802,1426206,15914593,15239553,5814675,1429195,1424594,14917519,15339506,7122955,1886545,1893280,23736567,27807645,42027691,15008234,14749204,320318299,360968251,25
35311545,12655602,12303333,828595227,777779293,5492432,1463423,1431307,16585492,15518816,5362919,1400221,1403809,15302527,14043235,5523166,1422724,1430133,15036799,15056769,5607570,1445314,1427712,15081456,14960260,25
26889257,11507622,11684716,711101155,663906033,6090765,1466940,1452649,15974238,15630885,7197727,1877553,1877324,29704738,25107414,54601814,19158322,18816769,421376912,490437384,13637772,3450625,3497047,52493932,51701075,25
31728537,12277738,12336172,799371982,787010368,44786488,16752157,16371616,357105264,437200873,13187671,3114240,3099938,47739456,55701914,13422391,3064904,3077206,43933262,44891445,10927793,2455839,2471494,26425016,26852827,25
29987358,12343085,12149305,837710672,770866590,44501239,15857579,16070602,457099147,396692437,18393013,5350740,5192000,90458024,98753078,12766810,2611349,2583995,44404979,45381721,11673336,2752227,2728823,33254065,33549412,25
36926820,14700257,14162191,811558407,844276129,33860388,11783179,11946708,310766206,286554930,12081279,2674015,2689898,41639437,38685411,15163318,4793826,4540472,56033795,79279408,9664745,2152177,2159010,26032490,24120355,25
