cache-misses_1s,node-loads_1s,branch-misses_1s,branch-load-misses_1s,LLC-store-misses_1s,branch-loads_1s,L1-dcache-stores_1s,L1-icache-load-misses_1s,branch-instructions_1s,iTLB-loads_1s,iTLB-load-misses_1s,dTLB-store-misses_1s,dTLB-load-misses_1s,dTLB-stores_1s,node-stores_1s,L1-dcache-load-misses_1s,cache-misses_2s,node-loads_2s,branch-misses_2s,branch-load-misses_2s,LLC-store-misses_2s,branch-loads_2s,L1-dcache-stores_2s,L1-icache-load-misses_2s,branch-instructions_2s,iTLB-loads_2s,iTLB-load-misses_2s,dTLB-store-misses_2s,dTLB-load-misses_2s,dTLB-stores_2s,node-stores_2s,L1-dcache-load-misses_2s,cache-misses_3s,node-loads_3s,branch-misses_3s,branch-load-misses_3s,LLC-store-misses_3s,branch-loads_3s,L1-dcache-stores_3s,L1-icache-load-misses_3s,branch-instructions_3s,iTLB-loads_3s,iTLB-load-misses_3s,dTLB-store-misses_3s,dTLB-load-misses_3s,dTLB-stores_3s,node-stores_3s,L1-dcache-load-misses_3s,cache-misses_4s,node-loads_4s,branch-misses_4s,branch-load-misses_4s,LLC-store-misses_4s,branch-loads_4s,L1-dcache-stores_4s,L1-icache-load-misses_4s,branch-instructions_4s,iTLB-loads_4s,iTLB-load-misses_4s,dTLB-store-misses_4s,dTLB-load-misses_4s,dTLB-stores_4s,node-stores_4s,L1-dcache-load-misses_4s,cache-misses_5s,node-loads_5s,branch-misses_5s,branch-load-misses_5s,LLC-store-misses_5s,branch-loads_5s,L1-dcache-stores_5s,L1-icache-load-misses_5s,branch-instructions_5s,iTLB-loads_5s,iTLB-load-misses_5s,dTLB-store-misses_5s,dTLB-load-misses_5s,dTLB-stores_5s,node-stores_5s,L1-dcache-load-misses_5s,label
29790415,2269243,13407747,13491212,3732662,893429839,756891224,54293449,924489678,1009688,713283,1109166,758587,744373874,6480416,49093957,11253811,634526,3186426,3346974,1844641,77752870,63806396,22033548,74419317,419923,485952,79195,546758,60754895,607918,8377114,16646522,904171,4714367,4790689,1630145,155249093,114209460,23631762,159459394,583339,495993,70373,598074,86344423,1087826,10723247,35844287,2268853,11793074,11756004,3485354,348427905,279171054,63278997,312948227,1499645,1019351,207389,1083223,298777873,3120005,32245507,83593861,5570036,37122386,37809720,6108057,1039824669,696499161,148600866,1079755876,4501612,2341352,447242,3151330,741889378,5801227,99612334,14
31041587,2138927,12568454,12563760,5539805,844509412,707703108,49293163,883942079,1090869,772070,873584,990276,758364481,5227960,46035451,11648107,562998,3749420,3686853,2024475,75747714,66105926,25140885,80665725,528678,494147,85527,515610,65145951,957402,9035195,43501711,2618251,21979631,21846351,4958184,733811498,558360410,101875910,699178170,3133405,1391529,377759,1548220,566760052,4314271,52361774,117232569,8008394,42690959,42855560,9825111,1234433429,782160048,172274008,1210021515,4623385,2923333,783662,3865041,810462008,9895025,116154560,34721679,2459295,10695687,10705700,2353769,295853426,193736940,46513910,255621775,1082212,832042,112130,1134593,174218964,1863690,27690522,14
31787243,2258632,13143007,13225370,4695710,857341470,736154809,52469254,972962874,922798,635969,715403,838166,755725952,5783300,47292027,12504459,729659,3364457,3290543,907020,77989384,65837244,25526353,85225676,392164,472082,72054,500345,67954874,1492063,9211451,18151058,963971,5552460,5411693,1721863,165227887,127097438,32191574,188877993,745246,566456,87892,620878,150821837,2543247,14602777,59032706,3702710,27072112,26855773,4535504,808424718,615228235,121058819,832013947,3677992,1593409,461163,1911520,584878791,5360242,65313131,97474999,6420384,32694414,33223259,6734031,985534716,633874244,149499373,972170105,4119097,2337178,645463,3305746,647313260,9025372,94180228,14
33756889,2056507,12339295,12154170,4812207,898100458,758928768,46812895,929142944,873903,816147,673065,1023311,730837202,6015028,47511327,18128710,965100,6325529,6205823,1148061,186599211,137810888,34214830,149251397,718184,655015,128473,692379,128464047,2785202,15454280,65714233,4132114,32587538,32495930,5990570,932735155,679562445,133207188,920902076,3983317,1850916,507622,2334074,710363202,5984029,74957095,105002109,7204212,34777921,34825254,7129293,1039398940,685162930,157337085,1032449643,3992471,2481444,605932,3540075,686047116,8988831,96606777,15267004,1070412,4872948,5197053,748682,159336082,95458701,24147094,159070682,556494,439262,61943,663582,90487354,953058,13166658,14
34054656,2491683,12411591,12424482,4534474,954483028,774588833,47727156,969854300,1045505,648841,713245,838631,704785115,6233877,58462188,11587641,736684,4649876,4620454,1424232,87251592,64165973,23164897,75121740,378775,458869,72843,457720,60409242,844147,8573286,6020085,326967,1450595,1451324,164530,18092447,15996482,11926509,17004110,169874,270769,24295,320601,15852750,159244,3378585,6082106,324950,1434738,1433701,155634,17004380,15310531,11573567,16703042,165723,271421,23188,299206,15513303,170776,3258890,9752771,543854,2553481,2549987,507053,53848639,46086003,17369023,72156773,244164,334880,45423,369116,55549061,759271,6206204,14
32018783,2391036,12181885,12196865,5536481,903374107,768193644,46201668,975050319,883301,785867,721327,1025437,690926303,5541645,53185024,12924323,756820,3640388,3914759,1573278,86576827,71306415,23720576,100306767,435780,452975,71976,515282,67609997,982560,8615414,35617481,2132391,11976274,11936373,4685091,396587886,344156066,73988838,431130895,1955810,1055123,237645,988152,352919047,3418664,29698650,83832047,5455140,39367866,38989098,6106007,1077193330,735703223,163996649,1069217307,4634006,2518001,508700,3087643,731137681,6130188,103925738,61166169,4310070,17164972,17118182,4878193,511016056,355736882,77411104,489754240,2026476,1477415,385539,2087404,331017129,5293364,48579258,14
34053171,2471455,12520755,12343298,5617964,915637958,751026003,40513003,949623774,814136,538368,771742,843153,700616134,4867727,58407416,6219378,321200,1456865,1454149,168361,18719834,17458447,11955844,18275007,162841,293147,25060,314165,15931156,162347,3379041,12396259,749809,4363831,4576742,1816157,93214670,73369594,25622102,77495585,379464,530493,70561,488357,63240282,913542,8899259,34876362,2038673,9354699,9685702,4274398,319945639,250390585,55631237,334383366,1385800,944633,172158,1022333,232016465,3900084,25558748,73443543,4642227,35351297,35200773,6200962,974343945,697674120,142128773,1053461940,4115511,1973533,491255,2417861,717026513,4880271,84983674,14
32489560,2328321,12435225,12175612,5099050,914702301,777127252,46155169,968787947,993267,769207,515449,921623,705618017,5642078,56917085,12139196,686190,4398813,4412326,1091400,65938816,56829630,23154537,61150146,409022,485761,79982,460064,70904504,1485385,9935881,42223692,2682878,19118000,19425361,4768785,651290577,521895293,101858615,651028110,3132339,1462755,422036,1491077,552898335,4516657,47216284,112567511,7747839,40746036,41065893,8595145,1149626260,756080882,183431911,1159804005,4778821,2919778,740573,3753661,775967985,9886164,116890440,33545056,2432630,9491178,9855180,2395782,329832415,216781048,45111060,348071902,1068367,723577,160358,1224850,230798927,2267204,28633279,14
31226598,1834486,11591330,11325112,4335641,891015180,734807559,39020612,892045358,1125901,929132,635486,1036653,731546518,5890230,49730374,9952141,532468,2785970,2824951,514700,63033146,50899325,21079676,64007500,361913,442567,56351,491137,52592882,1180431,7405178,9179604,490266,3616425,3619994,772712,63143677,49315898,18152774,59789158,267056,422194,89950,456988,48307204,819457,6474974,41618434,2523349,16184685,15897203,3176132,466673953,393349750,84744062,409375339,2247908,1072002,374367,1185194,382131357,4886208,36920874,96901360,6132712,39826363,39889261,6341192,1152044447,766363814,158338041,1153208832,4528072,2525003,485704,3373154,722736009,6950401,102379267,14
30504157,2034167,12081746,11595671,5879186,921981082,731836655,41960753,896079653,1030127,797075,756812,1052460,742266432,4961733,48070113,5796240,319807,1484777,1473600,162000,18496725,16343219,11981362,17909449,167253,267661,25521,315636,15216866,149628,3360937,11849690,646978,4495252,4570980,838732,76362448,65206539,26662707,79491535,459312,525367,81771,562025,69122612,1032320,9244494,34078521,1988687,12112866,12268509,4916092,429692925,363305021,66707302,422528225,1870255,1054876,265957,1154889,361714383,3235834,31726417,79975253,5025881,37965267,37036548,5610842,1084392086,709822418,157053283,1076958638,4404895,2293582,443349,3112229,710685980,5777349,97201913,14
